claim_id,claim,status,approved_wording,evidence_scope,authoritative_run,notes
state_v70,"Learned future network state beats persistence",APPROVED,"27.489% lower state MSE than persistence across three seeds","CICAPT-IIoT2024 Phase-2 state forecasting","","State forecasting only; do not call this attack accuracy"
state_xiiot,"Later X-IIoTID state diagnostic beats persistence",APPROVED_DIAGNOSTIC,"10.7876% lower state MSE than persistence (0.44053 vs 0.49380)","X-IIoTID state diagnostic","35565758743","Separate from V70; never average the two improvements"
attack_v88,"Independent-source UNSW attack replication",APPROVED,"Garuda macro recall 98.6772%, FPR 0.2871%, precision 91.2083%, F1 94.7874%","Two independently selected UNSW-NB15 family episodes; three seeds per family","35563992781","LR recall was 100%; Garuda advantage is lower FPR and higher precision/F1, not recall"
runtime_v90,"Live-compatible in-process runtime is low latency",APPROVED,"Forecast mean 2.86-3.01 ms, p95 2.92-3.08 ms, sequential 332-349 calls/s, max RSS 44.99 MiB","GitHub-hosted Ubuntu CPU in-process lab benchmark","35564831357","Not HTTP/network/customer SLA"
external_iot23,"Universal cross-domain portability on IoT-23",FAILED_STRESS_TEST,"IoT-23 first external stress test: recall 69.4512%, FPR 57.9874%; universal portability not proven","First external source stress test","","Preserve failure; do not retune and relabel fresh"
external_rtiot,"Universal cross-domain portability on RT-IoT2022",FAILED_STRESS_TEST,"RT-IoT2022 first external stress test: recall 86.9309%, FPR 5.7678%; FPR gate failed","First external source stress test","","Preserve failure; do not retune and relabel fresh"
external_toniot,"Universal cross-domain portability on ToN-IoT",FAILED_STRESS_TEST,"ToN-IoT V92 first test: recall 0.4291%, FPR 37.8880%; universal portability not proven","Immutable first external test","","Source SHA256 26ddc513552de36de6428b2e578efaed2b57504c716dfba847cc0109a64e1974"
progression_v89_1,"Robust unseen-subtype attacker progression",NOT_APPROVED,"Controlled V89.1 mean subtype recall 26.7018%, minimum 0%, maximum FPR 0.9079%; 80% recall/1% FPR robustness gate failed","X-IIoTID controlled leave-subtype-out development evaluation","35565758743","Both tested Lateral Movement folds had 0% recall; exposed reserve diagnostic only; fresh_claim_allowed=false"
progression_future_value,"Learned-future contribution on supported development targets",APPROVED_DIAGNOSTIC,"V89.1 supported-target mean F1 0.999009 vs 0.998016 for observed-only and persistence-future","Controlled development ablation only","35565758743","Small narrow diagnostic gain; does not override failed subtype robustness gate"
leadtime_v93,"Warning before labelled attack-step onset",APPROVED_DIAGNOSTIC,"Mean onset-event recall 22.6667%; mean Phase-2 alert rate 0.3660%; detected-case median leads 287/303/303 s","Corrected CICAPT attack-step onset audit","35566012885","Issue time=end of observed history; detected support 6/5/5; interval withheld"
precompromise,"Verified pre-compromise prediction",NOT_APPROVED,"Do not claim verified pre-compromise prediction","Requires verified successful-compromise timestamps and adequate support","","V93 is attack-onset evidence only; verified_compromise_ground_truth=false"
runtime_v94,"Unsupported/unverified runtime inputs fail closed",APPROVED,"V94 keeps unsupported/unverified integrated-runtime forecasts advisory-only and suppresses stage-specific interpretation plus forecast-driven autonomous Arjuna/Krishna/Sudarshana action","Integrated pinned localhost runtime","35567112947","21 focused + 188 full tests pass; current pinned bundle has no integrity-pinned support_gate.json"
support_detection,"V94 support abstention detects attacks or OOD perfectly",PROHIBITED,"Support abstention is not attack detection and does not label traffic malicious or benign","Runtime support diagnostic","35567112947","Never market OUTSIDE_VALIDATED_SUPPORT as an attack label"
mitre_stage,"MITRE/stage prediction is fully validated for unseen subtypes",NOT_APPROVED,"Use Unresolved / Insufficient evidence where stage/subtype support is not validated","V82-V89.1 progression diagnostics","35565758743","Robust unseen-subtype release gate remains failed"
autonomous_enterprise,"Enterprise-ready autonomous blocking",NOT_APPROVED,"Current enforcement remains scoped/lab/operator-controlled; unsupported forecast autonomy is suppressed","Prototype runtime and response controls","35567112947","Customer integration and independent security validation still required"
